"Syllable1","Syllable2","time","f0_norm","speaker","pitch_con","syl","tone","prev"
"2","4",17,-9.60860675333333,"s2","_HLBD2_s2_1","1","2","none"
"2","4",18,-10.9146153533333,"s2","_HLBD2_s2_1","1","2","none"
"2","4",19,-11.5988678533333,"s2","_HLBD2_s2_1","1","2","none"
"2","4",20,-12.1197195533333,"s2","_HLBD2_s2_1","1","2","none"
"2","4",21,-12.2802508533333,"s2","_HLBD2_s2_1","1","2","none"
"2","4",22,-12.1739080533333,"s2","_HLBD2_s2_1","1","2","none"
"2","4",23,-11.8991461533333,"s2","_HLBD2_s2_1","1","2","none"
"2","4",24,-11.3298318533333,"s2","_HLBD2_s2_1","1","2","none"
"2","4",25,-10.6665094533333,"s2","_HLBD2_s2_1","1","2","none"
"2","4",26,-9.76129705333334,"s2","_HLBD2_s2_1","1","2","none"
"2","4",27,-8.59428365333333,"s2","_HLBD2_s2_1","1","2","none"
"2","4",28,-7.18206185333334,"s2","_HLBD2_s2_1","1","2","none"
"2","4",29,-5.34434975333333,"s2","_HLBD2_s2_1","1","2","none"
"2","4",30,-3.19615885333333,"s2","_HLBD2_s2_1","1","2","none"
"2","4",1,8.98035613666667,"s3","_HLBD2_s3_1","1","2","none"
"2","4",2,8.28281773666667,"s3","_HLBD2_s3_1","1","2","none"
"2","4",3,7.66158423666667,"s3","_HLBD2_s3_1","1","2","none"
"2","4",4,7.13421383666667,"s3","_HLBD2_s3_1","1","2","none"
"2","4",5,6.76121793666667,"s3","_HLBD2_s3_1","1","2","none"
"2","4",6,6.27374853666667,"s3","_HLBD2_s3_1","1","2","none"
"2","4",7,5.53547943666666,"s3","_HLBD2_s3_1","1","2","none"
"2","4",8,4.82167903666667,"s3","_HLBD2_s3_1","1","2","none"
"2","4",9,4.10077953666666,"s3","_HLBD2_s3_1","1","2","none"
"2","4",10,3.33772683666668,"s3","_HLBD2_s3_1","1","2","none"
"2","4",11,2.43732393666667,"s3","_HLBD2_s3_1","1","2","none"
"2","4",12,1.45393363666666,"s3","_HLBD2_s3_1","1","2","none"
"2","4",13,0.337770236666671,"s3","_HLBD2_s3_1","1","2","none"
"2","4",14,-0.794989363333329,"s3","_HLBD2_s3_1","1","2","none"
"2","4",15,-1.93459556333333,"s3","_HLBD2_s3_1","1","2","none"
"2","4",16,-2.94404856333333,"s3","_HLBD2_s3_1","1","2","none"
"2","4",17,-3.82423506333333,"s3","_HLBD2_s3_1","1","2","none"
"2","4",18,-4.56666166333333,"s3","_HLBD2_s3_1","1","2","none"
"2","4",19,-5.00972466333333,"s3","_HLBD2_s3_1","1","2","none"
"2","4",20,-5.33102046333333,"s3","_HLBD2_s3_1","1","2","none"
"2","4",21,-5.48962936333334,"s3","_HLBD2_s3_1","1","2","none"
"2","4",22,-5.46051916333333,"s3","_HLBD2_s3_1","1","2","none"
"2","4",23,-5.34083446333334,"s3","_HLBD2_s3_1","1","2","none"
"2","4",24,-5.08607166333333,"s3","_HLBD2_s3_1","1","2","none"
"2","4",25,-4.73088876333333,"s3","_HLBD2_s3_1","1","2","none"
"2","4",26,-4.32556306333333,"s3","_HLBD2_s3_1","1","2","none"
"2","4",27,-3.86221076333334,"s3","_HLBD2_s3_1","1","2","none"
"2","4",28,-3.36400086333333,"s3","_HLBD2_s3_1","1","2","none"
"2","4",29,-2.83742116333333,"s3","_HLBD2_s3_1","1","2","none"
"2","4",30,-2.21621646333332,"s3","_HLBD2_s3_1","1","2","none"
"2","4",1,4.75718535,"s1","_HLBD3_s1_1","1","2","none"
"2","4",2,4.64466595,"s1","_HLBD3_s1_1","1","2","none"
"2","4",3,4.39875175,"s1","_HLBD3_s1_1","1","2","none"
"2","4",4,4.12997805000001,"s1","_HLBD3_s1_1","1","2","none"
"2","4",5,3.86371325,"s1","_HLBD3_s1_1","1","2","none"
"2","4",6,3.32476405,"s1","_HLBD3_s1_1","1","2","none"
"2","4",7,2.66535525,"s1","_HLBD3_s1_1","1","2","none"
"2","4",8,1.96393215000001,"s1","_HLBD3_s1_1","1","2","none"
"2","4",9,1.24191245,"s1","_HLBD3_s1_1","1","2","none"
